feature,coefficient
intercept,0.00191037936038218
n1_humidity,0.27435806512141764
n1_dist_km,-0.00012670097151004658
n1_altdiff_km,-0.027679529815466567
n2_humidity,0.1858993867051855
n2_dist_km,2.7165662446410577e-05
n2_altdiff_km,-0.013779603699899046
n3_humidity,0.12778218532423707
n3_dist_km,3.487070553558375e-05
n3_altdiff_km,-0.0022012686442891127
n4_humidity,0.11373370614345472
n4_dist_km,3.568200565909337e-05
n4_altdiff_km,-0.0015230974261206726
n5_humidity,0.08383494329453435
n5_dist_km,-5.480112666853726e-05
n5_altdiff_km,-0.0029850605089570504
n6_humidity,0.057044640561388194
n6_dist_km,1.1386713433671578e-05
n6_altdiff_km,-0.007566029281056231
n7_humidity,0.0351683034024763
n7_dist_km,-4.5589397417942715e-08
n7_altdiff_km,-0.005458197889140316
n8_humidity,0.034421106885297384
n8_dist_km,2.654099955372544e-05
n8_altdiff_km,-0.005717779047108833
n9_humidity,0.019419916439101834
n9_dist_km,1.5912145600354926e-05
n9_altdiff_km,-0.007271396357774597
n10_humidity,0.01701099219467699
n10_dist_km,-5.839469390784624e-06
n10_altdiff_km,-0.00010827190987317329
n11_humidity,0.01770574299535565
n11_dist_km,-5.915785528992948e-06
n11_altdiff_km,-0.0006227196887364072
n12_humidity,0.01257234993365369
n12_dist_km,2.7122699314729292e-05
n12_altdiff_km,0.0028434448996291378
n13_humidity,0.006250828697000177
n13_dist_km,2.2369757445942328e-05
n13_altdiff_km,0.001552993549035713
n14_humidity,0.0028208297772013757
n14_dist_km,-2.7903946505435288e-05
n14_altdiff_km,0.005390800930862992
n15_humidity,0.00041480636679067947
n15_dist_km,4.846999733797808e-05
n15_altdiff_km,0.0026405287509666973
n16_humidity,0.0064951235871548545
n16_dist_km,-4.695333950473974e-06
n16_altdiff_km,0.0015254873490064768
n17_humidity,0.006319494938912559
n17_dist_km,-2.0178647064193593e-05
n17_altdiff_km,0.0030388826805975693
n18_humidity,0.002711019575094851
n18_dist_km,-1.4373162438993158e-06
n18_altdiff_km,0.0033464344835398923
n19_humidity,-0.0027939632653712185
n19_dist_km,1.4602148585844268e-06
n19_altdiff_km,0.003276593354662346
n20_humidity,-0.006202693535906966
n20_dist_km,-3.228637935880399e-05
n20_altdiff_km,0.002772826552178969
