feature,coefficient
intercept,0.00021308067956293822
n1_radiation,0.30673279698894873
n1_dist_km,-3.068881424390344e-05
n1_altdiff_km,-9.015359309610606e-05
n2_radiation,0.13089758289193393
n2_dist_km,-1.002025707871367e-05
n2_altdiff_km,6.42276285013433e-05
n3_radiation,0.07904136205748094
n3_dist_km,2.874974151277905e-05
n3_altdiff_km,0.0005908717806023349
n4_radiation,0.0238400243741583
n4_dist_km,2.6550997148300957e-05
n4_altdiff_km,-0.0005974467790505817
n5_radiation,0.0713347916096544
n5_dist_km,-2.598000403674599e-06
n5_altdiff_km,-0.000772204369804673
n6_radiation,0.05048978731397466
n6_dist_km,-7.326703159624265e-06
n6_altdiff_km,0.00047849042516034425
n7_radiation,0.04379135312581055
n7_dist_km,-1.0907942029320246e-05
n7_altdiff_km,-0.00013098681181733754
n8_radiation,0.02999641923988914
n8_dist_km,2.7387861974532206e-07
n8_altdiff_km,-0.00023377161841791428
n9_radiation,0.03312212068022225
n9_dist_km,6.250145063665487e-06
n9_altdiff_km,-7.301716160961024e-05
n10_radiation,0.03995970617481576
n10_dist_km,-1.334139893348869e-05
n10_altdiff_km,-0.00013347593823570934
n11_radiation,0.033390474823454794
n11_dist_km,-1.223595672376015e-05
n11_altdiff_km,0.0008529088364852978
n12_radiation,0.03767258065343802
n12_dist_km,1.2130403217980265e-05
n12_altdiff_km,0.00015341061320995768
n13_radiation,0.02518387492054635
n13_dist_km,-3.718474445431865e-06
n13_altdiff_km,0.00032264116990857417
n14_radiation,0.02210812734043634
n14_dist_km,-8.683031544312706e-06
n14_altdiff_km,-0.0005932567646278544
n15_radiation,0.01534983831155315
n15_dist_km,-3.0503139201535094e-06
n15_altdiff_km,0.00022532543025729284
n16_radiation,0.014816690813092176
n16_dist_km,1.2159518370956758e-05
n16_altdiff_km,-2.1094700208142392e-05
n17_radiation,0.012541966996445037
n17_dist_km,1.5201491733917456e-05
n17_altdiff_km,0.00028763355627333146
n18_radiation,0.005483661912317585
n18_dist_km,-3.1777106916464983e-06
n18_altdiff_km,0.0001620154852328133
n19_radiation,0.0032232581236624853
n19_dist_km,-4.143290015845279e-07
n19_altdiff_km,9.867905351354449e-05
n20_radiation,0.002925153945718872
n20_dist_km,-3.7876330109905284e-06
n20_altdiff_km,0.0004141874775465205
