variable,n_neighbors,n_features,train_size,test_size,mae,rmse,bias,r,r2
temperature,20,60,42315859,28210573,0.0213772327556542,0.0293998411687179,-2.9261046435372325e-05,0.9597580820601782,0.9211269762673884
humidity,20,60,41217061,27478042,0.0736486736722694,0.0999048759989293,-0.0001597784825286,0.8940130688449776,0.799238287852196
radiation,20,60,41321552,27547702,0.0042241810177048,0.007839662315193,0.0002191481530149,0.9279471883683876,0.860967775280682
pressure,20,60,42274166,28182778,0.005069837294996277,0.012504125980924468,-4.8276666349214966e-05,0.9966671323957148,0.9933426601356422
