variable,n_samples,mae,rmse,bias,r,r2,mean_observed,mean_predicted,std_observed,std_predicted
temperature,28210573,0.0337612613353344,0.0467176116676575,-0.0009298929584596,0.900751403706037,0.800841068799874,0.6057044347873638,0.604774541828904,0.1046841036730257,0.104987063320599
humidity,27478042,0.0921396797212592,0.1268381624136781,0.0012900838602191,0.8378019100641768,0.6764008265918564,0.6903121518292767,0.6916022356894966,0.2229699003211532,0.222394500049693
radiation,27547702,0.0045015457386396,0.0099252387022134,-2.243260589592584e-05,0.8883074608546361,0.7771551098103471,0.0150950830129563,0.0150726504070604,0.0210251750472603,0.0209736599501679
pressure,28182778,0.07411181926480533,0.12321166047966137,-0.005020514040925633,0.684028795110614,0.3536054763449613,0.6519981304245228,0.6469776163835956,0.15325087973332324,0.156393392782681
