variable,n_samples,mae,rmse,bias,r,r2,mean_observed,mean_predicted,std_observed,std_predicted
temperature,70526432,0.0337790283009189,0.0468269447514248,-0.0014784054981707,0.8971134713282966,0.7929912561334684,0.6043171480339831,0.6028387425358168,0.1029204029572486,0.1034233035649911
humidity,68695103,0.0889717321054931,0.1230294622394126,0.0015957046716152,0.8410121419811571,0.6822687932713298,0.6964100400301851,0.6980057447017995,0.2182625323009833,0.2180574030793944
radiation,68869254,0.005580519035223698,0.026549177407048517,-6.50876536621445e-05,0.6661581947581628,0.3337502356008666,0.016060030362914268,0.015994942709252082,0.03252614062576823,0.03245586849931831
